,lyrics
10,"Largado às Traças Lyrics[Letra de ""Largado às Traças"" de Zé Neto & Cristiano]

[Verso: Zé Neto]
Meu orgulho caiu quando subiu o álcool
Aí deu ruim pra mim
E, pra piorar, tá tocando um modão de arrastar
O chifre no asfalto
Tô tentando te esquecer
Mas meu coração não entende
De novo eu fechando esse bar
Afogando a saudade num querosene
[Refrão: Zé Neto & Cristiano]
Vou beijando esse copo, abraçando as garrafas
Solidão é companheira nesse risca-faca
Enquanto 'cê não volta, eu tô largado às traças
Maldito sentimento que nunca se acaba
Vou beijando esse copo, abraçando as garrafas
Solidão é companheira nesse risca-faca
Enquanto 'cê não volta, eu tô largado às traças
Maldito sentimento que nunca se acaba

[Pós-Refrão: Zé Neto & Cristiano]
Ooooh ooooh
A falta de você bebida não ameniza
Ooooh ooooh
Tô tentando apagar fogo com gasolina

[Verso: Zé Neto & Cristiano]
Meu orgulho caiu quando subiu o álcool
Aí deu ruim pra mim
E, pra piorar, tá tocando um modão de arrastar
O chifre no asfalto
Tô tentando te esquecer
Mas meu coração não percebe
De novo eu fechando esse bar
Afogando a saudade num querosene
[Refrão: Zé Neto & Cristiano]
Vou beijando esse copo, abraçando as garrafas
Solidão é companheira nesse risca-faca
Enquanto 'cê não volta, eu tô largado às traças
Maldito sentimento que nunca se acaba
Vou beijando esse copo, abraçando as garrafas
Solidão é companheira nesse risca-faca
Enquanto 'cê não volta, eu tô largado às traças
Maldito sentimento que nunca se acaba

[Pós-Refrão: Zé Neto & Cristiano]
Ooooh ooooh
A falta de você bebida não ameniza
Ooooh ooooh
Tô tentando apagar fogo com gasolina
Ooooh ooooh
A falta de você bebida não ameniza
Ooooh ooooh
Tô tentando apagar fogo com gasolinaEmbed"
11,"Tranquila Lyrics[Verso 1]
Eu tava na minha, bem e bem de boa
Bem na moral sem nem lembrar de você
Se não fosse aquela mensagem, nem cogitaria ou suspeitaria
Que quando você desviava o olhar
Na real cê queria era mesmo me ver
Depois de tanto desviar, só faltou me atravessar
De tanto, mas tanto querer...
E queria minha boca, minha poesia
Meu canto, minha boemia, era tanto
Nem a mãe de santo sabia ou podia prever...
Queria o impossível, o improvável
Tão pouco crível, mas tão incrível
Era visível, amor, inflamável…
[Ponte]
Os nosso beijos tem sabor despedida
Cafe amargo, vanila
Marcou meu corpo, manteve - se anônimo
Tipo ghost, do outro lado, de outra, de outra vida
Só meu ghostwriter, Ghostface Killah
Ele tequila, eu camomila
Ele nunca foi São e eu tão pouco Dalila

[Refrão]
Minha melhor versão
É com ele
E sem saber dele eu não durmo tranquila

[Verso 2]
E foi num domingo como se nunca tivesse nem vindo
Dês de então não me deu prosa, nem promessa
Nem um encontro com pressa, você nunca teve pressa...
Dês de então não esqueço nenhuma conversa
Lembro de cada palavra, cada plano traçado
Por mais insano que fosse, mesmo que fosse pecado
Foda-se, eu pago!
Dês de então eu digito e apago
E do tanto que eu tento já devia ter esquecido seus afagos
Seu ego inflado, seu plano infalível
Devia ter esquecido, mas tá embaçado...
Você não sai da minha TL, ta sempre no mais recomendados
Trending topics e os caralho. Tá embaçado
E eu vivo Me desdobrando em mil
Pra conseguir ficar sem te ver, falar com você
Por que tem mil fitas, mil plays, mil likes
Mil compromissos, mil mensagens e mais de mil planos
Uns até que coerentes, outros nem tanto
Nenhum, nem nada, nem ninguém tão insano
Quanto essa minha vontade de ver e falar com você
Só serve se for com você, sim, só você
[Refrão]
Minha melhor versão
É com ele
E sem saber dele eu não durmo tranquilaEmbed"
12,"O Bebê Lyrics[Letra de ""O Bebê"" com Kevinho & MC Kekel]

[Intro: Kevinho]
Sua chamada está sendo encaminhada para a caixa postal. E estará sujeito a cobrança após o sinal
Esquece

[Verso: Kevinho]
Alô, por que você não me atendeu?
Já tava mó preocupadão
O seu pivete quase morre do coração
Amor, já fiz o corre pra te ver
Juntei a grana da passagem
Contando as horas
Pra gente matar a saudade
[Refrão: Kevinho]
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que de mim, do que de mim

[Ponte: Kevinho]
Antes de você eu era do mundão
Gratidão, minha princesa
Mudou minha cabeça, só me fez crescer
Bota fé no que eu vou dizer

[Refrão: Kevinho & MC Kekel]
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que, do que, do que
Number one, fio! Kevinho e Kekel!
Esquece!
[Verso: MC Kekel]
Alô, por que você não me atendeu?
Já tava mó preocupadão
O seu pivete quase morre do coração
Amor, já fiz o corre pra te ver
Juntei a grana da passagem
Contando as horas
Pra gente matar a saudade

[Refrão: Kevinho & MC Kekel]
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que de mim, do que de mim

[Ponte: Kevinho & MC Kekel]
Antes de você eu era do mundão
Gratidão, minha princesa
Mudou minha cabeça, só me fez crescer
Bota fé no que eu vou dizer

[Refrão: Kevinho e MC Kekel, MC Kekel]
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
Oh, bebê, gosto mais de você
Do que de mim, do que de mim
[Saída: Kevinho & MC Kekel]
E, mais uma vez, no toque da nave
É o Rafinha RSQ! Number one, fio!
Yeah, eu gosto mais de você
Ô, meu bebê!
Skrr, skrr1Embed"
13,"Saudade Nível Hard LyricsLetra de ""Saudade Nível Hard"" com Yasmin Santos

[Verso]
Ah, se esse aperto fosse falta de dinheiro
Horário de pico, ônibus lotado, trânsito parado
Eu dava um jeito
Mas esse é outro tipo de aperto

[Pré-Refrão]
Tá sobrando vontade
Tá faltando coragem
Não aguentei, apelei pra bebida
Vou pedir arrego pra voltar pra sua vida
[Refrão]
É que eu tô com saudade
Saudade nível hard
Daquelas que bate, bate
E arde mais que Merthiolate
É que eu tô com saudade
Saudade nível hard
Daquelas que bate, bate
E arde mais que Merthiolate
É que eu tô com saudade

[Verso]
Ah, se esse aperto fosse falta de dinheiro
Horário de pico, ônibus lotado, trânsito parado
Eu dava um jeito
Mas esse é outro tipo de aperto

[Pré-Refrão]
Tá sobrando vontade
Tá faltando coragem
Não aguentei, apelei pra bebida
Vou pedir arrego pra voltar pra sua vida

[Refrão]
É que eu tô com saudade
Saudade nível hard
Daquelas que bate, bate
E arde mais que Merthiolate
É que eu tô com saudade
Saudade nível hard
Daquelas que bate, bate
E arde mais que Merthiolate
É que eu tô com saudade
É que eu tô com saudade
Saudade nível hard
Daquelas que bate, bate
E arde mais que Merthiolate
É que eu tô com saudade
Saudade nível hard
Daquelas que bate, bate
E arde mais que Merthiolate
É que eu tô com saudade
[Saída]
É que eu tô com saudadeEmbed"
14,"Hoje Eu Vou Parar Na Gaiola Lyrics[Letra de ""Hoje Eu Vou Parar Na Gaiola"" com MC Livinho & Rennan da Penha]

[Intro]
Purururururu, purururururu, purururururu
Purururu, purururu, purururururu
Purururururu, purururururu, purururururu
Purururu, purururu, purururururu
Purururururu, purururururu, purururururu

[Verso]
Hoje no baile da Penha, o que vai rolar?
Só putaria pra essas menina dançar
Os amigos já tão cada um com a sua missão
Traz o lança que eu já tô com o meu copão na mão
[Refrão]
Hoje eu vou parar na gaiola, ficar de marola
Senta pro chefinho do jeitinho que ele gosta
Vai ficar chapada e vai voltar depois das horas
Toma, toma, toma, toma, toma sua gostosa
Toma, toma, toma, toma, toma sua gostosa
Hoje eu vou parar na gaiola, ficar de marola
Senta pro chefinho do jeitinho que ele gosta
Vai ficar chapada e vai voltar depois das horas
Toma, toma, toma, toma, toma sua gostosa
Toma, toma, toma, toma, toma sua gostosa

[Pós-Refrão]
Purururururu, purururururu, purururururu
Purururu, purururu, purururururu
Purururururu, purururururu, purururururu
Purururu, purururu, purururururu
Purururururu, purururururu, purururururu

[Verso]
Hoje—hoje—hoje no baile da Penha, o que vai rolar?
Só putaria pra essas menina dançar
Os amigos já tão cada um com a sua missão
Traz o lança que eu já tô com o meu copão na mão

[Refrão]
Hoje eu vou parar na gaiola, ficar de marola
Senta pro chefinho do jeitinho que ele gosta
Vai ficar chapada e vai voltar depois das horas
Toma, toma, toma, toma, toma sua gostosa
Toma, toma, toma, toma, toma sua gostosa
Hoje eu vou parar na gaiola, ficar de marola
Senta pro chefinho do jeitinho que ele gosta
Vai ficar chapada e vai voltar depois das horas
Toma, toma, toma, toma, toma sua gostosa
Toma, toma, toma, toma, toma sua gostosaEmbed"
15,"Vingança Lyrics[Letra de ""Vingança"" com Luan Santana & MC Kekel]

[Intro]
Uh, uh, uh, uh
Uh, uh, uh, uh
Uh, uh, uh, uh
Uh, uh, uh, uh

[Verso 1: Luan Santana]
Não vou mais pensar em você
Na minha mente cê não vai entrar
E só vim aqui te avisar
Teu psicológico preparar
Que eu não vou mais te esperar
[Refrão]
Eu vou pegar todo mundo
Virar um vagabundo
Depois que eu ficar com essa cidade inteira
Aí cê vai lembrar
Do tanto que eu te dei amor
E o tanto que você não deu valor
E a sua única chance vai ser
Em alguma balada da vida
Eu te beijar sem perceber
Sem ver que é você

[Ponte]
Uh, uh, uh, uh
Uh, uh, uh, uh
Uh, uh, uh, uh
Uh, uh, uh, uh

[Verso 2: Kekel]
Eu te avisei
Tenta não vacilar
Menina, eu te avisei
Amor é pra cuidar
Se escapar da mão, cai no chão
Não tem conserto, não
Antes de sumir da sua vida
Só mais uma coisa
Tô aqui no portão
[Pré-Refrão: Luan Santana & Kekel]
E é a última vez que eu vou falar
Seu psicológico preparar
Que eu não vou mais te esperar
Acabou minha paciência

[Refrão: Luan Santana & Kekel]
Eu vou pegar todo mundo
Virar um vagabundo
Depois que eu ficar com essa cidade inteira
Aí cê vai lembrar
Do tanto que eu te dei amor
E o tanto que você não deu valor
É sua única chance

[Pós-Refrão: Kekel]
Você não deu valor
Você não deu valor
Não deu valor, não deu valor
Amei demais, agora não quero mais nem saber
Deixa as outras aproveitarem por você

[Refrão: Luan Santana & Kekel]
Eu vou pegar todo mundo
Virar um vagabundo
Depois que eu ficar com essa cidade inteira
Aí cê vai lembrar
Do tanto que eu te dei amor
E o tanto que você não deu valor
E a sua única chance vai ser
Em qualquer balada por aí
Vou te beijar sem perceber
Sem ver que é você
[Saída: Kekel]
Que eu vou virar um vagabundo
Que eu vou me jogar no mundo
Que eu vou virar um vagabundo
Que eu vou me jogar no mundo
Luan, Kekel1Embed"
16,"Traí Sim LyricsSabe aquele dia
Que eu pedi pra você ir embora
Da casa do seu amigo
E você não foi?
Eu fiquei sozinha
E olha só pra você

Eu assinei o Netflix sem poder
E fiz até um jantarzinho pra impressionar você
E você não veio
Você só quer rolê
Fica só na bebedeira pra se aparecer
Eu fiquei até altas horas e nada de você
Você queria o que?
Trai, trai sim
Trai, e trairia de novo
Você queria ser sucesso
Então tá aí seu nome na boca do povo
Trai, trai sim
Trai, e trairia de novo
Você queria ser sucesso
Então tá aí seu nome na boca do povo

Eu assinei o Netflix sem poder
E fiz até um jantarzinho pra impressionar você
E você não veio
Você só quer rolê
Fica só na bebedeira pra se aparecer
Eu fiquei até altas horas e nada de você
Você queria o que?

Trai, trai sim
Trai, e trairia de novo
Você queria ser sucesso
Então tá aí seu nome na boca do povo
Trai, trai sim
Trai, e trairia de novo
Você queria ser sucesso
Então tá aí seu nome na boca do povo
Trai, trai sim
Trai, e trairia de novo
Você queria ser sucesso
Então tá aí seu nome na boca do povoEmbed"
17,"Sofazinho Lyrics[Verso: Luan Santana]
Quase uma missão impossível
Fazer amor com os seus pais em casa
Já pensou se rola um flagra?
De mim não ia sobrar nada

[Pré-Refrão: Jorge]
Sua mãe, ela gosta tanto de mim
Seu pai, virou meu parceiro de baralho
Eles não sabem o tanto que a gente aprontou
[Refrão: Luan Santana, Jorge e Mateus & ambos]
Naquele sofazinho de dois lugares
Imagina se ele falasse, nega
Daquelas nossas noites de amor
Sendo que o combinado era assistir um filme
No sofazinho de dois lugares
Imagina se ele falasse, nega
Daquelas nossas noites de amor
Sendo que o combinado era assistir um filme
Aí, aí, aí, aí, aí, aí

[Pré-Refrão: Luan Santana]
Sua mãe, ela gosta tanto de mim
Seu pai, virou meu parceiro de baralho
Eles não sabem o tanto que a gente aprontou

[Refrão: Luan Santana & Jorge e Mateus]
Naquele sofazinho de dois lugares
Imagina se ele falasse, nega
Daquelas nossas noites de amor
Sendo que o combinado era assistir um filme
No sofazinho de dois lugares
Imagina se ele falasse, nega
Daquelas nossas noites de amor
Sendo que o combinado era assistir um filme
[Conversa: Luan Santana & Jorge]
Jorge e Mateus, pode parecer loucura, mas eu acho que foi aquele sofazinho que fortaleceu o lance entre eu e ela, sabia?
Luan, sofazinho faz parte da vida de todo mundo, rapaz
Todo mundo já teve um sofazinho de um, de dois, de três lugares, né? Pode acontecer
Tudo vale a pena...
No amor tudo vale a pena

[Refrão: Luan Santana, Jorge e Mateus & ambos]
No sofazinho de dois lugares
Imagina se ele falasse, nega
Daquelas nossas noites de amor
Sendo que o combinado era assistir um filme
No sofazinho de dois lugares
Imagina se ele falasse, nega
Daquelas nossas noites de amor
Sendo que o combinado era assistir um filme
Aí, aí, aí, aí, aí, aí

[Outro: Luan Santana & Jorge e Mateus]
Naquele sofazinho de dois lugaresEmbed"
18,"Propaganda Lyrics[Letra de ""Propaganda"" por Jorge & Mateus]

Ela queima o arroz
Quebra copo na pia
Tropeça no sofá, machuca o dedinho
E a culpa ainda é minha

Ela ronca demais
Mancha as minhas camisas
Dá até medo de olhar
Quando ela tá naqueles dias
É isso que eu falo pros outros
Mas você sabe que o esquema é outro
Só faço isso pra malandro não querer crescer o olho

Tá doido que eu vou
Fazer propaganda de você
Isso não é medo de te perder, amor
É pavor, é pavor

Tá doido que eu vou
Fazer propaganda de você
Isso não é medo de te perder, amor
É pavor
É minha, cuido mesmo, pronto e acabou

Ela queima o arroz
Quebra copo na pia
Tropeça no sofá, machuca o dedinho
E a culpa ainda é minha

Ela ronca demais
Mancha as minhas camisas
Dá até medo de olhar
Quando ela tá naqueles dias

É isso que eu falo pros outros
Mas você sabe que o esquema é outro
Só falo isso pra malandro não querer crescer o olho
Tá doido que eu vou
Fazer propaganda de você
Isso não é medo de te perder, amor
É pavor, é pavor

Tá doido que eu vou
Fazer propaganda de você
Isso não é medo de te perder, amor
É pavor
É minha, cuido mesmo, pronto e acabouEmbed"
19,"Veneno Lyrics[Letra de ""Veneno""]

[Pre-Estribillo]
Que quede claro
Si tú te portas bien
Yo te lo voy a dar
Como nunca te han dado
No te equivoques
Cuida el terreno
No sabes en lo que te estás metiendo
Una vez que tú siembres en otro suelo
[Estribillo]
Porque yo soy tu veneno
Controlando tu cuerpo
Tú me das lo que quiero
Soy tu veneno
Estás jugando con fuego
Cuida'o que te quemo
Porque yo soy tu veneno
Controlando tu cuerpo
Tú me das lo que quiero
Soy tu veneno
Estás jugando con fuego
Ten cuida'o que te quemo
(Ten cuida'o que te quemo)
(Soy tu veneno)

[Verso]
Que pienses más en mí
De lo que pienso en ti
Tratas de mantenerte en el juego
Y te dejo seguir

[Puente]
Aún no tienes claro
Soy la que controla
Pero dale, vamos
Paso a paso que me va elevando el calor
Tu pantalón va guayando
Y ya te tengo pensando
[Estribillo]
Porque yo soy tu veneno
Controlando tu cuerpo
Tú me das lo que quiero
Soy tu veneno
Estás jugando con fuego
Cuida'o que te quemo
Porque yo soy tu veneno
Controlando tu cuerpo
Tú me das lo que quiero
Soy tu veneno
Estás jugando con fuego
Ten cuida'o que te quemo
(Ten cuida'o que te quemo)

[Pre-Estribillo]
Que quede claro
Si tú te portas bien
Yo te lo voy a dar
Como nunca te han dado
No te equivoques
Cuida el terreno
No sabes en lo que te estás metiendo
Una vez que tú siembres en otro suelo

[Estribillo]
Porque yo soy tu veneno
Controlando tu cuerpo
Tú me das lo que quiero
Soy tu veneno
Estás jugando con fuego
Cuida'o que te quemo
Porque yo soy tu veneno
Controlando tu cuerpo
Tú me das lo que quiero
Soy tu veneno
Estás jugando con fuego
Ten cuida'o que te quemo
(Ten cuida'o que te quemo)
[Outro]
Controlando tu cuerpo
(Soy tu veneno)
Estás jugando con fuego
Cuida'o que te quemo11Embed"
20,"Zé da Recaída Lyrics[Intro]
Atende aí, bebê
Fala comigo!

[Verso]
Tô há mais de duas horas
Ensaiando uma recaída
Número já tá na tela
É só apertar o verde que liga

[Pré-Refrão]
Me vê uma dose pra mudar minha vida
Da melhor que você tem
Pra ver se com inspiração em Old Parr ela vem
O empurrãozinho que falta, ai ai ai
Pra completar essa chamada, ah
[Refrão]
Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim
Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim

[Pré-Refrão]
Me vê uma dose pra mudar minha vida
Da melhor que você tem
Pra ver se com inspiração em Old Parr ela vem
O empurrãozinho que falta, ai ai ai
Pra completar essa chamada, ah

[Refrão]
Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim
Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim
[Saída]
Atende aí!Embed"
21,"Ouvi Dizer LyricsPapapaparapapapa
Ôôuôô
Ôôuôô

Ah, se eu acordasse todo dia com o seu bom dia
De tanto café na cama faltariam xícaras
Me atrasaria, só pra ficar de preguiça
Se toda arte se inspirasse em seus traços
Então qualquer esboço viraria um quadro Monalisa

Com você tudo fica tão leve
Que até te levo na garupa da bicicleta
O preto e branco tem cor
A vida tem mais humor
E pouco a pouco o vazio se completa
O errado se acerta
O quebrado conserta
E assim tudo muda mesmo sem mudar
A paz se multiplicou
Que bom que você chegou pra somar

Ouvi dizer que existe paraíso na terra
E coisas que eu nunca entendi
Coisas que eu nunca entendi
Só ouvi dizer que quando arrepia já era
Coisas que eu só entendi
Quando eu te conheci

Papapaparapapapa
Ôôuôô
Ôôuôô

Com você tudo fica tão leve
Que até te levo na garupa da bicicleta
O preto e branco tem cor
A vida tem mais humor
E pouco a pouco o vazio se completa

O errado se acerta
O quebrado conserta
E assim tudo muda mesmo sem mudar
A paz se multiplicou
Que bom que você chegou pra somar
Ouvi dizer que existe paraíso na terra
E coisas que eu nunca entendi
Coisas que eu nunca entendi
Só ouvi dizer que quando arrepia já era
Coisas que eu só entendi
Quando eu te conheci

Ouvi dizer que existe paraíso na terra
E coisas que eu nunca entendi
Coisas que eu nunca entendi
Só ouvi dizer que quando arrepia já era
Coisas que eu só entendi
Quando eu te conheci

Papapaparapapapa
Ôôuôô
ÔôuôôEmbed"
22,"Cidade Vizinha Lyrics[Letra de ""Cidade Vizinha"" com Henrique & Juliano]

[Verso 1]
Seis
Essa é a hora que ela vai sair pra correr
Depois
Vai procurar alguma coisa leve pra comer

[Verso 2]
Sua cabeça anda sem ter tempo pra pensar
Que antes era a gente, hoje é vida singular
E agora?
Pra quem tá solteiro, cidade grande é foda!
[Refrão]
Eu sei que ela tá na cidade vizinha
Mas eu preciso da boca dela na minha
Ai ai ai ai
Talvez essa hora saiu do banho
Tá se arrumando pra sair com as amigas
Ai ai ai ai
Tomara que saia e dê tudo errado
E volte mais cedo
Sem ninguém do seu lado
Ohhh uhhh ohhh
Tomara que saia, dê tudo errado
E sinta saudades
Aqui do meu quarto

[Ponte]
Ohhh ohhh uhhh ohhhh
Ehhh eieee

[Verso 2]
Sua cabeça anda sem ter tempo pra pensar
Que antes era a gente, hoje é vida singular
E agora?
Pra quem tá solteiro, cidade grande é foda!

[Refrão]
Eu sei que ela tá na cidade vizinha
Mas eu preciso da boca dela na minha
Ai ai ai ai
Talvez essa hora saiu do banho
Tá se arrumando pra sair com as amigas
Ai ai ai ai
Tomara que saia e dê tudo errado
E volte mais cedo
Sem ninguém do seu lado
Ohhh uhhh ohhh
Tomara que saia, dê tudo errado
E sinta saudades
Aqui do meu quartoEmbed"
23,"Sem Sal (Ao Vivo) Lyrics[Letra de ""Sem Sal"" com Marilia Mendonça]

[Verso 1]
Não aceitou o nosso fim
Está desesperado falando de mim
Tá me queimando por aí
Meu nome na sua boca anda bem docin'

[Verso 2]
E quem ouve palavra não ouve pensamento
Tá se mordendo por dentro, tá se mordendo por dentro
Cara amarrada não apaga sentimento
Tá se mordendo por dentro, tá se mordendo por dentro
[Refrão]
Tá espalhando por aí que eu esfriei, que eu tô mal
Que eu tô sem sal, realmente eu tô
Sem saudade de você
Eu já fiz foi te esquecer
Tá espalhando por aí que eu esfriei, que eu tô mal
Que eu tô sem sal, realmente eu tô
Sem saudade de você
Eu já fiz foi te esquecer
Toma, distraído!

[Verso 2]
E quem ouve palavra não ouve pensamento
Tá se mordendo por dentro, tá se mordendo por dentro
Cara amarrada não apaga sentimento
Tá se mordendo por dentro, tá se mordendo por dentro

[Refrão]
Tá espalhando por aí que eu esfriei, que eu tô mal
Que eu tô sem sal, realmente eu tô
Sem saudade de você
Eu já fiz foi te esquecer
Tá espalhando por aí que eu esfriei, que eu tô mal
Que eu tô sem sal, realmente eu tô
Sem saudade de você
Eu já fiz foi te esquecer
Tá espalhando por aí que eu esfriei, que eu tô mal
Que eu tô sem sal, realmente eu tô
Sem saudade de você
Eu já fiz foi te esquecerEmbed"
24,"O Alvo (Ao Vivo) LyricsTa avançando demais
Em território inimigo
O meu coração só quer paz
E você vem com esse sorriso

Me desarmando totalmente
Bagunçando a minha mente
E eu caio, de novo nesse seu campo minado

Esse coração tá na linha de tiro e o alvo não guenta
O batom vermelho com o vestido preto ai cê me arrebenta
Já tava te esquecendo
É covardia o que cê tá fazendo
Esse coração tá na linha de tiro e você nunca erra
Só com seu sorriso já ganhou a guerra
Ai sou todo seu, ai sou todo seu

Ta avançando demais
Em território inimigo
O meu coração só quer paz
E você vem com esse sorriso

Me desarmando totalmente
Bagunçando a minha mente
E eu caio, de novo nesse seu campo minado

Esse coração tá na linha de tiro e o alvo não guenta
O batom vermelho com o vestido preto ai cê me arrebenta
Já tava te esquecendo
É covardia o que cê ta fazendo

Esse coração ta na linha de tiro e você nunca erra
Só com seu sorriso já ganhou a guerra
Ai sou todo seu, ai sou todo seuEmbed"
25,"Posto 24h Lyrics[Letra de ""Posto 24h"" com Lucas Lucco & Wesley Safadão]

[Verso: Lucas Lucco]
O tira-gosto esfriou
A cerveja esquentou
O cigarro queimou a ponta do meu dedo
Essa festa acabou
Meus amigos vazou
E a dona do bar tá fechando mais cedo

[Pré-Refrão: Lucas Lucco]
E aonde é que meu coração fica nessa hora?
Qualquer homem durão nesse momento chora
Sem ela na minha casa eu não me sinto bem
Eu sem amor e sem bebida sou um zé ninguém
[Refrão: Wesley Safadão & Lucas Lucco]
E o posto 24 horas é o point dos largados
Olha eu virado bebendo por ela
E o povo abastecendo indo pro trabalho
E o posto 24 horas é o point dos largados
Olha eu virado bebendo por ela
E o povo abastecendo indo pro trabalho

[Pré-Refrão: Wesley Safadão & Lucas Lucco]
E aonde é que meu coração fica nessa hora?
Qualquer homem durão nesse momento chora
Sem ela na minha casa eu não me sinto bem
Tô sem amor e sem limite

[Refrão: Lucas Lucco & Wesley Safadão]
E o posto 24 horas é o point dos largados
Olha eu virado bebendo por ela
E o povo abastecendo indo pro trabalho
E o posto 24 horas é o point dos largados
Olha eu virado bebendo por ela
E o povo abastecendo indo pro trabalho
E o posto 24 horas é o point dos largados
Olha eu virado bebendo por ela
E o povo abastecendo indo pro trabalhoEmbed"
26,"Ao Vivo e A Cores Lyrics[Letra de ""Ao Vivo e A Cores"" com Matheus & Kauan & Anitta]

[Verso: Matheus & Kauan]
Por que você não sai daí?
E vem aqui
Pode invadir, pode chegar, pode ficar
No meu quarto, no meu abraço apertado
Duvido que cê vai querer ir embora
Não apavora
Depois do amor a gente vai fazendo hora
E eu não aguento mais
Eu não aguento mais
[Refrão: Matheus & Kauan]
A tela fria desse celular
Só ver sua foto não vai me esquentar
Amar você de longe é tão ruim
Te quero ao vivo e a cores aqui
Aqui

[Verso: Anitta]
Por que você não sai daí?
E vem aqui
Pode invadir, pode chegar, pode ficar
No meu quarto, no meu abraço apertado
Duvido que cê vai querer ir embora
Não apavora
Depois do amor a gente vai fazendo hora
E eu não aguento mais
Eu não aguento mais

[Refrão: Anitta]
A tela fria desse celular
Só ver sua foto não vai me esquentar
Amar você de longe é tão ruim
Te quero ao vivo e a cores aqui
Aqui, yeah
Oh oh oh, oh-oh
Aqui, yeah
Oh oh oh, oh-oh
[Ponte: Matheus & Kauan & Anitta, juntos]
Então sai daí, s-s-sai daí
Vem aqui, vem
Invadir, invadir o meu quarto
O meu abraço apertado, vem vem
Duvido que cê vai querer sair
Por que você não sai daí?
Sai daí, s-s-sai daí
Vem aqui, vem
Invadir, invadir o meu quarto
O meu abraço, meu abraço apertado
Eu não aguento mais

[Refrão: Matheus & Kauan & Anitta, juntos]
Olhar pra tela fria desse celular (só ver sua foto)
Só ver sua foto não vai me esquentar (não vai me esquentar, não)
Amar você de longe é tão ruim (é tão ruim)
Te quero ao vivo e a cores aqui
Aqui, yeah
Oh oh oh, oh-oh
Aqui, yeah
Oh oh oh, oh-ohEmbed"
27,"Infarto Lyrics[Letra de ""Infarto"" com Diego & Victor Hugo]

[Verso]
Ajuda eu aqui
Me deu uma tonteira, traz uma cadeira, que eu vou cair
Cancela a cerveja, traz água com açúcar aí
Já me senti assim

[Pré-Refrão]
Eu tenho uma doença
Que tem um metro e sessenta
E acabou de entrar ali naquela porta
Fecha a conta
Tá aumentando os sintomas
[Refrão]
E o peito tá doendo
Tomara que seja infarto
Se for amor, eu tô ferrado
Aí vai ser pior o estrago
E o peito tá doendo
Tomara que seja infarto
Se for amor, eu tô ferrado
Aí vai ser pior o estrago

[Verso]
Ajuda eu aqui
Me deu uma tonteira, traz uma cadeira, que eu vou cair
Cancela a cerveja, traz água com açúcar aí
Já me senti assim

[Pré-Refrão]
Eu tenho uma doença
Que tem um metro e sessenta
E acabou de entrar ali naquela porta
Fecha a conta
Tá aumentando os sintomas

[Refrão]
E o peito tá doendo
Tomara que seja infarto
Se for amor, eu tô ferrado
Aí vai ser pior o estrago
E o peito tá doendo
Tomara que seja infarto
Se for amor, eu tô ferrado
Aí vai ser pior o estrago1Embed"
